script,category,status,evidence_type,verdict,best_score,configs_tested,artifact_path,machine_readable,rerun_recommended,reason
e_poly_03_gap_fill_2026_03.py,misc,ran_with_artifact,json,NOISE,—,confirmatory,results/e_poly_03.json,yes,no,Verdict is final: NOISE
e_recurrence_00_linear_order2.py,misc,ran_no_artifact,report,ELIMINATED,—,—,,no,no,Verdict is final: ELIMINATED
e_ref_00_8row_grid.py,e_ref,ran_with_artifact,report+json,NOISE,0/24,4.5M,results/e_ref_00_8row_grid.json,yes,no,Verdict is final: NOISE
e_ref_01_carter_chapterX.py,e_ref,ran_no_artifact,report,NOISE,0/24,—,,no,no,Verdict is final: NOISE
e_ref_02_strip_cipher.py,e_ref,ran_with_artifact,report+json,NOISE,0/24,86.5M,results/e_ref_02_strip_cipher.json,yes,no,Verdict is final: NOISE
e_rerun_01_opgold_expanded.py,misc,ran_no_artifact,report,NOISE,—,—,,no,no,Verdict is final: NOISE
e_rerun_02_tableau_expanded.py,misc,ran_no_artifact,report,NOISE,—,—,,no,no,Verdict is final: NOISE
e_rerun_03_columnar_expanded.py,misc,ran_with_artifact,json,NOISE,—,—,results/e_rerun_03_columnar.json,yes,no,Verdict is final: NOISE
e_review_model_b_search.py,misc,ran_no_artifact,inferred,UNDERDETERMINED,—,—,,no,no,"Underdetermined by design (too many DOF); new constraints needed, not re-runs"
e_roman_01_comprehensive.py,e_roman,ran_with_artifact,report+json,NOISE,4/24,—,results/e_roman_01.json,yes,no,Verdict is final: NOISE
e_roman_02_exhaustive.py,e_roman,ran_no_artifact,report,NOISE,—,—,,no,no,Verdict is final: NOISE
e_roman_03_triple_trans.py,e_roman,ran_no_artifact,report,ELIMINATED,8/24,2.56M,,no,no,Verdict is final: ELIMINATED
e_roman_03b_abscissa_coords.py,e_roman,ran_no_artifact,report,NOISE,—,—,,no,no,Verdict is final: NOISE
e_roman_04_3d_grid.py,e_roman,ran_no_artifact,report,ELIMINATED,8/24,1.28M,,no,no,Verdict is final: ELIMINATED
e_roman_04b_abscissa_coords.py,e_roman,ran_no_artifact,report,ELIMINATED,7/24,348K,,no,no,Verdict is final: ELIMINATED
e_roman_05_anomaly_params.py,e_roman,ran_no_artifact,report,ELIMINATED,6/24,226.8K,,no,no,Verdict is final: ELIMINATED
e_route_definitive.py,misc,ran_with_artifact,json,NOISE,19/24 FP,"43,056",results/e_route_definitive.json,yes,no,Verdict is final: NOISE
e_runkey_002_k123_plaintext.py,misc,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_02_stride_transposition.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_03_missing_char_routes.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_04_missing_char_structural.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_05_algebraic_fractionation.py,e_s_legacy,ran_with_artifact,json,ELIMINATED,—,—,results/frac/e_frac_13_ic_analysis.json,yes,no,Verdict is final: ELIMINATED
e_s_06_double_columnar.py,e_s_legacy,ran_with_artifact,report+json,NOISE,15/24,441M,results/e_s_06_double_columnar.json,yes,no,Verdict is final: NOISE
e_s_07_sa_permutation.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_08_sa_quadgram.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_09_bifid_algebraic.py,e_s_legacy,ran_with_artifact,report+json,ELIMINATED,—,—,results/e_s_09_bifid.json,yes,no,Verdict is final: ELIMINATED
e_s_100_porta_proper.py,e_s_legacy,ran_no_artifact,inferred,ELIMINATED,—,—,,no,no,Verdict is final: ELIMINATED
e_s_101_statistical_transposition.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_102_grid_position_key.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_103_thematic_running_key.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_104_turning_grille.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_105_self_key_and_derived.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_106_k3_outer_layer.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_107_shifted_mixed_alpha.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_108_column_statistics.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_109_top_ordering_analysis.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_10_additive_grid_key.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_110_k5_position_cipher.py,e_s_legacy,ran_no_artifact,inferred,DOCUMENTED,—,—,,no,no,Documented in inventory but no formal verdict
e_s_112_morse_transforms.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_117_coordinate_keys.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_119_k3_grid_k4.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_11_running_key_transposition.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_120_desparatly_test.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_121_constraint_assembly.py,e_s_legacy,ran_no_artifact,inferred,UNDERDETERMINED,—,—,,no,no,"Underdetermined by design (too many DOF); new constraints needed, not re-runs"
e_s_122_berlin_clock_perm.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_123_compass_bearing_key.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_124_palimpsest_method.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_125_positional_misalignment.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_127_weltzeituhr.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_128_weltzeituhr_cities.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_129_charlie_insertion.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_12_reading_orders.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_130_checkpoint_98char.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_131_point_crib_sweep.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_132_regression_meta_analysis.py,e_s_legacy,ran_with_artifact,json,NOISE,—,—,artifacts/e_s_132_regression.json,yes,no,Verdict is final: NOISE
e_s_133_width9_columnar.py,e_s_legacy,ran_with_artifact,json,NOISE,—,—,artifacts/e_s_133_width9.json,yes,no,Verdict is final: NOISE
e_s_133b_width9_strict.py,e_s_legacy,ran_with_artifact,json,NOISE,—,—,artifacts/e_s_133b_width9_strict.json,yes,no,Verdict is final: NOISE
e_s_134_weltzeituhr_ddr_era.py,e_s_legacy,ran_with_artifact,report+json,NOISE,4/24,—,results/e_s_134_weltzeituhr.json,yes,no,Verdict is final: NOISE
e_s_135_berlin_wall_running_key.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_136_great_big_story_rk.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_137_point_crib_placement.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_138_point_sa_optimization.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_139_berlin_themed_cribs.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_13_keyword_transposition.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_140_secret_reminder_crib_test.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_141_point_end_sa.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_142_weltzeituhr_orrery.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_143_progressive_onion.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_144_morse_structural.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_145_dryad_matrix.py,e_s_legacy,ran_with_artifact,report+json,UNDERDETERMINED,3/24,~65,results/e_s_145_dryad.json,yes,no,"Underdetermined by design (too many DOF); new constraints needed, not re-runs"
e_s_146_anomaly_w7_transposition.py,e_s_legacy,ran_with_artifact,json,NOISE,—,—,artifacts/e_s_146/e_s_146_results.json,yes,no,Verdict is final: NOISE
e_s_147_shift5_f_parameter.py,e_s_legacy,ran_with_artifact,json,NOISE,—,—,artifacts/e_s_147/e_s_147_results.json,yes,no,Verdict is final: NOISE
e_s_148_combined_anomaly.py,e_s_legacy,ran_with_artifact,json,NOISE,—,—,artifacts/e_s_148/e_s_148_results.json,yes,no,Verdict is final: NOISE
e_s_149_anomaly_conceptual.py,e_s_legacy,ran_with_artifact,json,NOISE,—,—,artifacts/e_s_149/e_s_149_results.json,yes,no,Verdict is final: NOISE
e_s_14_crib_perturbation.py,e_s_legacy,ran_no_artifact,report,CONFIRMED,+1 max,—,,no,no,Verdict is final: CONFIRMED
e_s_150_carter_date_key.py,e_s_legacy,ran_with_artifact,json,NOISE,—,—,artifacts/e_s_150/results.json,yes,no,Verdict is final: NOISE
e_s_151_hill_w9_yart.py,e_s_legacy,ran_with_artifact,report+json,ELIMINATED,0,40.6M,results/e_s_151_hill.json,yes,no,Verdict is final: ELIMINATED
e_s_152_nato_protocol.py,e_s_legacy,ran_with_artifact,report+json,NOISE,9/24,—,results/e_s_152_nato.json,yes,no,Verdict is final: NOISE
e_s_153_berlin_words_crib_test.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_154_progressive_bridge.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_15_creative_keys.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_16_sa_keyspace.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_17_extraction_patterns.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_18_turning_grille.py,e_s_legacy,ran_with_artifact,report+json,NOISE,16/24,2M MC,results/e_s_18_turning_grille.json,yes,no,Verdict is final: NOISE
e_s_19_double_columnar.py,e_s_legacy,ran_with_artifact,report+json,NOISE,16/24,34.6M,,no,no,Verdict is final: NOISE
e_s_20_constraint_propagation.py,e_s_legacy,ran_no_artifact,inferred,UNDERDETERMINED,—,—,,no,no,"Underdetermined by design (too many DOF); new constraints needed, not re-runs"
e_s_21_manifold_sa.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_22_amsco_disrupted.py,e_s_legacy,ran_with_artifact,report+json,NOISE,15/24,—,results/e_s_22_amsco.json,yes,no,Verdict is final: NOISE
e_s_23_lag7_constrained_sa.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_24_thematic_keys.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_25_ct_structural_analysis.py,e_s_legacy,ran_with_artifact,json,NOISE,—,—,results/e_s_25_ct_structural.json,yes,no,Verdict is final: NOISE
e_s_26_bean_manifold_sa.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_27_bean_algebraic_proof.py,e_s_legacy,ran_no_artifact,report,RETRACTED,—,—,,no,no,Verdict is final: RETRACTED
e_s_28_bean_redundancy_proof.py,e_s_legacy,ran_no_artifact,report,PROOF,—,—,,no,no,Verdict is final: PROOF
e_s_29_w_separator.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_30_three_layer_mask.py,e_s_legacy,ran_no_artifact,inferred,ELIMINATED,—,—,,no,no,Verdict is final: ELIMINATED
e_s_31_carter_running_key.py,e_s_legacy,ran_no_artifact,report,ELIMINATED,10/24,26.8M,,no,no,Verdict is final: ELIMINATED
e_s_32_compass_coordinate_key.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_33_double_columnar.py,e_s_legacy,ran_no_artifact,report,ELIMINATED,0,50.8M,,no,no,Verdict is final: ELIMINATED
e_s_33b_mixed_double_columnar.py,e_s_legacy,ran_no_artifact,report,ELIMINATED,0,1B+,,no,no,Verdict is final: ELIMINATED
e_s_34_key_fragment_analysis.py,e_s_legacy,ran_no_artifact,inferred,UNDERDETERMINED,—,—,,no,no,"Underdetermined by design (too many DOF); new constraints needed, not re-runs"
e_s_35_null_cipher_extraction.py,e_s_legacy,ran_with_artifact,json,NOISE,—,—,results/e_s_35_null_cipher.json,yes,no,Verdict is final: NOISE
e_s_36_gronsfeld_p7.py,e_s_legacy,ran_no_artifact,report,ELIMINATED,0,—,,no,no,Verdict is final: ELIMINATED
e_s_37_mixed_alphabet.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_38_ka_tableau_key_analysis.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_39_myszkowski.py,e_s_legacy,ran_with_artifact,report+json,ELIMINATED,—,"47,293",results/e_s_39_myszkowski.json,yes,no,Verdict is final: ELIMINATED
e_s_40_lag7_deep_analysis.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_41_hill_transposition.py,e_s_legacy,ran_no_artifact,report,ELIMINATED,0,—,,no,no,Verdict is final: ELIMINATED
e_s_42_bifid6x6_extended.py,e_s_legacy,ran_no_artifact,report,ELIMINATED,—,—,,no,no,Verdict is final: ELIMINATED
e_s_42b_trifid_extended.py,e_s_legacy,ran_with_artifact,report,ELIMINATED,—,—,results/e_s_42b_trifid_extended.json,yes,no,Verdict is final: ELIMINATED
e_s_43_thematic_extension.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_44_trifid_p16.py,e_s_legacy,ran_with_artifact,report+json,ELIMINATED,—,—,,no,no,Verdict is final: ELIMINATED
e_s_45_lag7_exploitation.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_46_position_dependent_alphabets.py,e_s_legacy,ran_no_artifact,inferred,UNDERDETERMINED,—,—,,no,no,"Underdetermined by design (too many DOF); new constraints needed, not re-runs"
e_s_47_period7_after_transposition.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_47b_model_b_period7.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_48_joint_sa_p7.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_49_word_segmentation_sa.py,e_s_legacy,ran_no_artifact,report,UNDERDETERMINED,24/24,—,,no,no,"Underdetermined by design (too many DOF); new constraints needed, not re-runs"
e_s_50_nonlinear_recurrence.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_51_dual_running_key_sa.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_52_carter_columnar_running_key.py,e_s_legacy,ran_no_artifact,report,ELIMINATED,11/24,7B,,no,no,Verdict is final: ELIMINATED
e_s_53_keyword_columnar_sweep.py,e_s_legacy,ran_no_artifact,report,ELIMINATED,0,"15,756",,no,no,Verdict is final: ELIMINATED
e_s_54_pre_ene_analysis.py,e_s_legacy,ran_no_artifact,inferred,DOCUMENTED,—,—,,no,no,Documented in inventory but no formal verdict
e_s_55_grid_route_sweep.py,e_s_legacy,ran_no_artifact,report,ELIMINATED,11/24,"16,224",,no,no,Verdict is final: ELIMINATED
e_s_56_affine_polyalphabetic.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_57_period7_constraint_enum.py,e_s_legacy,ran_no_artifact,inferred,ELIMINATED,—,—,,no,no,Verdict is final: ELIMINATED
e_s_57b_period7_constraint_correct.py,e_s_legacy,ran_no_artifact,inferred,ELIMINATED,—,—,,no,no,Verdict is final: ELIMINATED
e_s_58_k3_variant_keystream.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_59_width7_nonperiodic.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_60_coordinate_date_keys.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_61_noncolumnar_width7.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_62_width7_sa.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_63_k3_variants.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_64_autokey_width7.py,e_s_legacy,ran_no_artifact,inferred,ELIMINATED,—,—,,no,no,Verdict is final: ELIMINATED
e_s_65_key_bigram_discrimination.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_66_themed_running_keys.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_67_gromark_numeric_key.py,e_s_legacy,ran_no_artifact,inferred,ELIMINATED,—,—,,no,no,Verdict is final: ELIMINATED
e_s_68_matrix_key_generation.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_69_pt_autokey_algebraic.py,e_s_legacy,ran_no_artifact,inferred,ELIMINATED,—,—,,no,no,Verdict is final: ELIMINATED
e_s_69b_autokey_survivors.py,e_s_legacy,ran_no_artifact,inferred,ELIMINATED,—,—,,no,no,Verdict is final: ELIMINATED
e_s_70_turning_grille.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_71_seriated_key.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_72_grille_sa.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_73_mixed_alphabet_sa.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_74_sculpture_key.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_75_extended_cribs.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_76_keyword_alphabet_filter.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_77_hill_anomaly.py,e_s_legacy,ran_no_artifact,inferred,ELIMINATED,—,—,,no,no,Verdict is final: ELIMINATED
e_s_78_reverse_engineering.py,e_s_legacy,ran_no_artifact,inferred,UNDERDETERMINED,—,—,,no,no,"Underdetermined by design (too many DOF); new constraints needed, not re-runs"
e_s_79_same_ct_investigation.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_80_latin_square_filter.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_81_ka_tableau_columnar.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_82_worldclock_plaintext.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_83_autokey_columnar.py,e_s_legacy,ran_no_artifact,inferred,ELIMINATED,—,—,,no,no,Verdict is final: ELIMINATED
e_s_84_polynomial_key_columnar.py,e_s_legacy,ran_no_artifact,inferred,ELIMINATED,—,—,,no,no,Verdict is final: ELIMINATED
e_s_85_autokey_decrypt.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_86_three_layer.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_87_kryptos_key_arbtrans.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_88_redefence.py,e_s_legacy,ran_with_artifact,report+json,ELIMINATED,3/24,rails 2-20,results/e_s_88_redefence.json,yes,no,Verdict is final: ELIMINATED
e_s_89_progressive_key.py,e_s_legacy,ran_no_artifact,inferred,ELIMINATED,—,—,,no,no,Verdict is final: ELIMINATED
e_s_90_extended_structured_key.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_91_plaintext_extension.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_92_community_proposals.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_93_autokey_columnar.py,e_s_legacy,ran_no_artifact,inferred,ELIMINATED,—,—,,no,no,Verdict is final: ELIMINATED
e_s_94_keystream_structure.py,e_s_legacy,ran_with_artifact,json,UNDERDETERMINED,—,—,results/e_s_94_keystream_structure.json,yes,no,"Underdetermined by design (too many DOF); new constraints needed, not re-runs"
e_s_95_creative_substitutions.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_96_multiwidth_autokey.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_97_decimation_cipher.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_97b_decimation_analysis.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_98_k123_running_key.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_99_mono_constraint.py,e_s_legacy,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_s_berlin_extend.py,misc,ran_with_artifact,json,NOISE,—,—,results/e_s_berlin_extend.json,yes,no,Verdict is final: NOISE
e_sa_assault.py,misc,ran_no_artifact,report,UNDERDETERMINED,—,—,,no,no,"Underdetermined by design (too many DOF); new constraints needed, not re-runs"
e_sa_constrained.py,misc,ran_no_artifact,report,UNDERDETERMINED,—,—,,no,no,"Underdetermined by design (too many DOF); new constraints needed, not re-runs"
e_solve_01_novel_attacks.py,misc,ran_with_artifact,json,NOISE,—,—,,no,no,Verdict is final: NOISE
e_solve_02_deep_attacks.py,misc,ran_with_artifact,json,NOISE,—,—,,no,no,Verdict is final: NOISE
e_solve_03_remaining_gaps.py,misc,ran_with_artifact,json,NOISE,—,—,,no,no,Verdict is final: NOISE
e_solve_04_key_derivation.py,misc,ran_with_artifact,json,NOISE,—,—,,no,no,Verdict is final: NOISE
e_solve_05_key_transposition.py,misc,ran_with_artifact,json,NOISE,—,—,,no,no,Verdict is final: NOISE
e_solve_06_crib_drag.py,misc,ran_no_artifact,report,NOISE,—,—,,no,no,Verdict is final: NOISE
e_solve_07_beaufort_focus.py,misc,ran_with_artifact,json,NOISE,24/24 FP,25M,results/e_solve_07_beaufort_focus.json,yes,no,Verdict is final: NOISE
e_solve_08_trithemius_mod19.py,misc,ran_no_artifact,report,ELIMINATED,—,~100K,,no,no,Verdict is final: ELIMINATED
e_solve_09_null_masking.py,misc,ran_no_artifact,report,ELIMINATED,—,—,,no,no,Verdict is final: ELIMINATED
e_solve_10_null_proof.py,misc,ran_no_artifact,report,PROOF,—,analytical,,no,no,Verdict is final: PROOF
e_solve_11_feedback_digraph.py,misc,ran_no_artifact,report,NOISE,—,~20K,,no,no,Verdict is final: NOISE
e_solve_12_keystream_transposition.py,misc,ran_with_artifact,json,ELIMINATED,0/24,9.8M,results/e_solve_12_keystream_transposition.json,yes,no,Verdict is final: ELIMINATED
e_solve_13_grid_routes.py,misc,ran_with_artifact,json,ELIMINATED,0/24,52K,results/e_solve_13_grid_routes.json,yes,no,Verdict is final: ELIMINATED
e_solve_14_beaufort_structure.py,misc,ran_no_artifact,report,NOISE,—,~5K,,no,no,Verdict is final: NOISE
e_solve_15_masked_pt.py,misc,ran_no_artifact,report,NOISE,—,~50K,,no,no,Verdict is final: NOISE
e_solve_16_encrypt_transpose.py,misc,ran_no_artifact,report,ELIMINATED,—,analytical,,no,no,Verdict is final: ELIMINATED
e_solve_16b_period5_deep.py,misc,ran_no_artifact,report,ELIMINATED,—,~10M filtered,,no,no,Verdict is final: ELIMINATED
e_solve_17_2d_matrix.py,misc,ran_no_artifact,report,ELIMINATED,—,analytical,,no,no,Verdict is final: ELIMINATED
e_solve_18_nonlinear_chain.py,misc,ran_no_artifact,report,ELIMINATED,—,~90K,,no,no,Verdict is final: ELIMINATED
e_solve_19_2d_keyword_cols.py,misc,ran_no_artifact,report,ELIMINATED,—,~12M,,no,no,Verdict is final: ELIMINATED
e_solve_20_autokey_keyword.py,misc,ran_no_artifact,report,ELIMINATED,—,"2,538",,no,no,Verdict is final: ELIMINATED
e_solve_21_mixed_variant.py,misc,ran_no_artifact,report,ELIMINATED,—,—,,no,no,Verdict is final: ELIMINATED
e_solve_22_final_gaps.py,misc,ran_no_artifact,report,ELIMINATED,—,~200K,,no,no,Verdict is final: ELIMINATED
e_split_00_installation_key_split.py,e_split,ran_with_artifact,report+json,NOISE,6/24,"51,534",results/e_split_00_installation_key_split.json,yes,no,Verdict is final: NOISE
e_stat_01_missing_tests.py,misc,ran_no_artifact,report,NOISE,—,—,,no,no,Verdict is final: NOISE
e_stat_02_comprehensive_analysis.py,misc,unverified,pending,DOCUMENTED,—,analytical,,no,no,Documented in inventory but no formal verdict
e_tableau_20_k3method_keywords.py,misc,ran_no_artifact,report,NOISE,—,—,,no,no,Verdict is final: NOISE
e_tableau_nav_001_algebraic.py,misc,ran_no_artifact,report,NOISE,—,—,,no,no,Verdict is final: NOISE
e_team_anomaly_extraction.py,e_team,ran_with_artifact,json,NOISE,—,~500,results/e_team_anomaly_extraction.json,yes,no,Verdict is final: NOISE
e_team_artifact_cross.py,e_team,ran_with_artifact,json,NOISE,7/24,"~1,500",results/e_team_artifact_cross.json,yes,no,Verdict is final: NOISE
