==========================================================================================
CRYPTIANA VATICAN MATRIX: CUDA Deep Space (KryptosBot Strict Scoring)
==========================================================================================

Generating periodic keys...
Targeting 475,254 periodic keys per alphabet.

Igniting GPU Sweep...
TOTAL PROCESSED      | SPEED                | BATCH TIME   | HITS FOUND
2.05 Trillion        | 418 M/sec            |  4.77s       |     0 hits
2.05 Trillion        | 420 M/sec            |  4.75s       |     0 hits
2.05 Trillion        | 417 M/sec            |  4.79s       |     0 hits
2.06 Trillion        | 415 M/sec            |  4.81s       |     0 hits
2.06 Trillion        | 416 M/sec            |  4.79s       |     0 hits
2.06 Trillion        | 415 M/sec            |  4.80s       |     0 hits
2.06 Trillion        | 419 M/sec            |  4.77s       |     0 hits
2.06 Trillion        | 420 M/sec            |  4.75s       |     0 hits
2.07 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.07 Trillion        | 416 M/sec            |  4.79s       |     0 hits
2.07 Trillion        | 416 M/sec            |  4.80s       |     0 hits
2.07 Trillion        | 419 M/sec            |  4.77s       |     0 hits
2.07 Trillion        | 415 M/sec            |  4.81s       |     0 hits
2.08 Trillion        | 412 M/sec            |  4.84s       |     0 hits
2.08 Trillion        | 413 M/sec            |  4.83s       |     0 hits
2.08 Trillion        | 417 M/sec            |  4.78s       |     0 hits
2.08 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.08 Trillion        | 418 M/sec            |  4.77s       |     0 hits
2.09 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.09 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.09 Trillion        | 419 M/sec            |  4.76s       |     0 hits
2.09 Trillion        | 421 M/sec            |  4.74s       |     0 hits
2.09 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.10 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.10 Trillion        | 420 M/sec            |  4.75s       |     0 hits
2.10 Trillion        | 420 M/sec            |  4.75s       |     0 hits
2.10 Trillion        | 421 M/sec            |  4.74s       |     0 hits
2.10 Trillion        | 413 M/sec            |  4.83s       |     0 hits
2.11 Trillion        | 414 M/sec            |  4.83s       |     0 hits
2.11 Trillion        | 414 M/sec            |  4.82s       |     0 hits
2.11 Trillion        | 414 M/sec            |  4.83s       |     0 hits
2.11 Trillion        | 413 M/sec            |  4.83s       |     0 hits
2.11 Trillion        | 415 M/sec            |  4.81s       |     0 hits
2.12 Trillion        | 414 M/sec            |  4.82s       |     0 hits
2.12 Trillion        | 421 M/sec            |  4.74s       |     0 hits
2.12 Trillion        | 420 M/sec            |  4.76s       |     0 hits
2.12 Trillion        | 421 M/sec            |  4.74s       |     0 hits
2.12 Trillion        | 417 M/sec            |  4.79s       |     0 hits
2.13 Trillion        | 415 M/sec            |  4.81s       |     0 hits
2.13 Trillion        | 418 M/sec            |  4.77s       |     0 hits
2.13 Trillion        | 419 M/sec            |  4.76s       |     0 hits
2.13 Trillion        | 419 M/sec            |  4.77s       |     0 hits
2.13 Trillion        | 414 M/sec            |  4.82s       |     0 hits
2.14 Trillion        | 411 M/sec            |  4.85s       |     0 hits
2.14 Trillion        | 419 M/sec            |  4.77s       |     0 hits
2.14 Trillion        | 418 M/sec            |  4.78s       |     0 hits
2.14 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.14 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.15 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.15 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.15 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.15 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.15 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.16 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.16 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.16 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.16 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.16 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.17 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.17 Trillion        | 422 M/sec            |  4.72s       |     0 hits
2.17 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.17 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.17 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.18 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.18 Trillion        | 422 M/sec            |  4.72s       |     0 hits
2.18 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.18 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.18 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.19 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.19 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.19 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.19 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.19 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.20 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.20 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.20 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.20 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.20 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.21 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.21 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.21 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.21 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.21 Trillion        | 422 M/sec            |  4.72s       |     0 hits
2.22 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.22 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.22 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.22 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.22 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.23 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.23 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.23 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.23 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.23 Trillion        | 422 M/sec            |  4.72s       |     0 hits
2.24 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.24 Trillion        | 422 M/sec            |  4.72s       |     0 hits
2.24 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.24 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.24 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.25 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.25 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.25 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.25 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.25 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.26 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.26 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.26 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.26 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.26 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.27 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.27 Trillion        | 422 M/sec            |  4.72s       |     0 hits
2.27 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.27 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.27 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.28 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.28 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.28 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.28 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.28 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.29 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.29 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.29 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.29 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.29 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.30 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.30 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.30 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.30 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.30 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.31 Trillion        | 422 M/sec            |  4.72s       |     0 hits
2.31 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.31 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.31 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.31 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.32 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.32 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.32 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.32 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.32 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.33 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.33 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.33 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.33 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.33 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.34 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.34 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.34 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.34 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.34 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.35 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.35 Trillion        | 421 M/sec            |  4.74s       |     0 hits
2.35 Trillion        | 418 M/sec            |  4.77s       |     0 hits
2.35 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.35 Trillion        | 420 M/sec            |  4.75s       |     0 hits
2.36 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.36 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.36 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.36 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.36 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.37 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.37 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.37 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.37 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.37 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.38 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.38 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.38 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.38 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.38 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.39 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.39 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.39 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.39 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.39 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.40 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.40 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.40 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.40 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.40 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.41 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.41 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.41 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.41 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.41 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.42 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.42 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.42 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.42 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.42 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.43 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.43 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.43 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.43 Trillion        | 422 M/sec            |  4.72s       |     0 hits
2.43 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.44 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.44 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.44 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.44 Trillion        | 422 M/sec            |  4.72s       |     0 hits
2.44 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.45 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.45 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.45 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.45 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.45 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.46 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.46 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.46 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.46 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.46 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.47 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.47 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.47 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.47 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.47 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.48 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.48 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.48 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.48 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.48 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.49 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.49 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.49 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.49 Trillion        | 422 M/sec            |  4.72s       |     0 hits
2.49 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.50 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.50 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.50 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.50 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.50 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.51 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.51 Trillion        | 422 M/sec            |  4.72s       |     0 hits
2.51 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.51 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.51 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.52 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.52 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.52 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.52 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.52 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.53 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.53 Trillion        | 422 M/sec            |  4.74s       |     0 hits
2.53 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.53 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.53 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.54 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.54 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.54 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.54 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.54 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.54 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.55 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.55 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.55 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.55 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.55 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.56 Trillion        | 422 M/sec            |  4.72s       |     0 hits
2.56 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.56 Trillion        | 421 M/sec            |  4.74s       |     0 hits
2.56 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.56 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.57 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.57 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.57 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.57 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.57 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.58 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.58 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.58 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.58 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.58 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.59 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.59 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.59 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.59 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.59 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.60 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.60 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.60 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.60 Trillion        | 421 M/sec            |  4.74s       |     0 hits
2.60 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.61 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.61 Trillion        | 422 M/sec            |  4.72s       |     0 hits
2.61 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.61 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.61 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.62 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.62 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.62 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.62 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.62 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.63 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.63 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.63 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.63 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.63 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.64 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.64 Trillion        | 417 M/sec            |  4.78s       |     0 hits
2.64 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.64 Trillion        | 420 M/sec            |  4.76s       |     0 hits
2.64 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.65 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.65 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.65 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.65 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.65 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.66 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.66 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.66 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.66 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.66 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.67 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.67 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.67 Trillion        | 421 M/sec            |  4.74s       |     0 hits
2.67 Trillion        | 421 M/sec            |  4.75s       |     0 hits
2.67 Trillion        | 421 M/sec            |  4.74s       |     0 hits
2.68 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.68 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.68 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.68 Trillion        | 422 M/sec            |  4.72s       |     0 hits
2.68 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.69 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.69 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.69 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.69 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.69 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.70 Trillion        | 422 M/sec            |  4.72s       |     0 hits
2.70 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.70 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.70 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.70 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.71 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.71 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.71 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.71 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.71 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.72 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.72 Trillion        | 422 M/sec            |  4.72s       |     0 hits
2.72 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.72 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.72 Trillion        | 422 M/sec            |  4.72s       |     0 hits
2.73 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.73 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.73 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.73 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.73 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.74 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.74 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.74 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.74 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.74 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.75 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.75 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.75 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.75 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.75 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.76 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.76 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.76 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.76 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.76 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.77 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.77 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.77 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.77 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.77 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.78 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.78 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.78 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.78 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.78 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.79 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.79 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.79 Trillion        | 422 M/sec            |  4.72s       |     0 hits
2.79 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.79 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.80 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.80 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.80 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.80 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.80 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.81 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.81 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.81 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.81 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.81 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.82 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.82 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.82 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.82 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.82 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.83 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.83 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.83 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.83 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.83 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.84 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.84 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.84 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.84 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.84 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.85 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.85 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.85 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.85 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.85 Trillion        | 422 M/sec            |  4.72s       |     0 hits
2.86 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.86 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.86 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.86 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.86 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.87 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.87 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.87 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.87 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.87 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.88 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.88 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.88 Trillion        | 423 M/sec            |  4.72s       |     0 hits
2.88 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.88 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.89 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.89 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.89 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.89 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.89 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.90 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.90 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.90 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.90 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.90 Trillion        | 422 M/sec            |  4.72s       |     0 hits
2.91 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.91 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.91 Trillion        | 422 M/sec            |  4.73s       |     0 hits
2.91 Trillion        | 422 M/sec            |  4.73s       |     0 hits
